TimeStamp,RAINGUN.RAINGUN.ZONE4.MOISTURE,RAINGUN.RAINGUN.ZONE4.N,RAINGUN.RAINGUN.ZONE4.EC,RAINGUN.RAINGUN.ZONE4.P
13/09/2023 10:54,16.3,19,371,26
13/09/2023 10:55,16.3,19,371,26
13/09/2023 10:55,16.3,19,371,26
13/09/2023 10:56,16.3,19,371,26
13/09/2023 10:56,16.3,19,371,26
13/09/2023 10:57,16.3,19,371,26
13/09/2023 10:58,16.3,19,371,26
13/09/2023 10:58,16.3,19,371,26
13/09/2023 11:06,16.3,19,369,26
13/09/2023 11:07,16.3,19,369,26
13/09/2023 11:08,16.2,19,369,26
13/09/2023 11:08,16.2,19,369,26
13/09/2023 11:09,16.2,19,369,26
13/09/2023 11:09,16.2,19,369,26
13/09/2023 11:10,15.7,19,369,26
13/09/2023 11:10,16.2,19,369,26
13/09/2023 11:11,16.5,19,369,26
13/09/2023 11:12,16.5,19,369,26
13/09/2023 11:12,16.5,19,369,26
13/09/2023 11:13,16.5,19,369,26
13/09/2023 11:13,16.5,19,369,26
13/09/2023 11:14,15.3,19,369,26
13/09/2023 11:14,15.3,19,369,26
13/09/2023 11:15,15.3,19,369,26
13/09/2023 11:15,15.3,19,369,26
13/09/2023 11:16,15.3,19,369,26
13/09/2023 11:17,15.3,19,369,26
13/09/2023 11:17,15.3,19,369,26
13/09/2023 11:18,15.3,19,369,26
13/09/2023 11:18,15.3,19,369,26
13/09/2023 11:19,15.3,19,369,26
13/09/2023 11:19,15.3,19,369,26
13/09/2023 11:20,15,19,375,26
13/09/2023 11:20,15.3,19,369,26
13/09/2023 11:21,15,19,375,26
13/09/2023 11:22,15,19,375,26
13/09/2023 11:22,15,19,375,26
13/09/2023 11:23,15.3,19,375,26
13/09/2023 11:23,15,19,375,26
13/09/2023 11:24,15.3,19,375,26
13/09/2023 11:24,15.3,19,375,26
13/09/2023 11:25,15.3,19,375,26
13/09/2023 11:25,15.3,19,375,26
13/09/2023 11:26,15.3,19,375,26
13/09/2023 11:27,15.1,19,375,26
13/09/2023 11:27,15.3,19,375,26
13/09/2023 11:28,15.1,19,375,26
13/09/2023 11:28,15.1,19,375,26
13/09/2023 11:29,15.1,19,375,26
13/09/2023 11:30,15.1,19,375,26
13/09/2023 11:30,15.1,19,375,26
13/09/2023 11:31,15.1,19,375,26
13/09/2023 11:31,15.1,19,375,26
13/09/2023 11:32,15.1,19,375,26
13/09/2023 11:33,15.1,19,375,26
13/09/2023 11:33,15.1,19,375,26
13/09/2023 11:34,15.1,19,375,26
13/09/2023 11:34,15.1,19,375,26
13/09/2023 11:35,15.1,19,375,26
13/09/2023 11:36,15.1,19,375,26
13/09/2023 11:36,15.1,19,375,26
13/09/2023 11:37,14.8,19,375,26
13/09/2023 11:37,14.8,19,375,26
13/09/2023 11:38,15.6,19,375,26
13/09/2023 11:38,14.8,19,375,26
13/09/2023 11:39,15.6,19,375,26
13/09/2023 11:40,15.6,19,375,26
13/09/2023 11:40,15.6,19,375,26
13/09/2023 11:41,15.6,19,375,26
13/09/2023 11:42,15.5,19,375,26
13/09/2023 11:42,15.5,19,375,26
13/09/2023 11:43,16.6,19,375,26
13/09/2023 11:43,16.6,19,375,26
13/09/2023 11:44,16.6,19,375,26
13/09/2023 11:45,15.4,19,372,26
13/09/2023 11:45,15.4,19,372,26
13/09/2023 11:46,15.4,19,372,26
13/09/2023 11:46,15.4,19,372,26
13/09/2023 11:47,16.4,19,372,26
13/09/2023 11:48,16.4,19,372,26
13/09/2023 11:48,16.4,19,372,26
13/09/2023 11:49,16.4,19,372,26
13/09/2023 11:49,16.4,19,372,26
13/09/2023 11:50,15.6,19,372,26
13/09/2023 11:50,16.4,19,372,26
13/09/2023 11:51,15.6,19,372,26
13/09/2023 11:52,15.6,19,372,26
13/09/2023 11:52,15.6,19,372,26
13/09/2023 11:53,15.6,19,372,26
13/09/2023 11:53,15.6,19,372,26
13/09/2023 11:54,15.6,19,372,26
13/09/2023 11:55,16.9,19,370,26
13/09/2023 11:55,16.9,19,370,26
13/09/2023 11:56,16.9,19,370,26
13/09/2023 11:56,16.9,19,370,26
13/09/2023 11:57,17.3,19,370,26
13/09/2023 11:58,17.3,19,370,26
13/09/2023 11:58,17.3,19,370,26
13/09/2023 11:59,17.3,19,370,26
13/09/2023 11:59,17.3,19,370,26
13/09/2023 12:00,17.3,19,370,26
13/09/2023 12:01,17.3,19,370,26
13/09/2023 12:01,17.3,19,370,26
13/09/2023 12:02,17.3,19,370,26
13/09/2023 12:02,17.3,19,370,26
13/09/2023 12:03,17.3,19,370,26
13/09/2023 12:04,17.3,19,370,26
13/09/2023 12:04,17.3,19,370,26
